entire,campus,number,class_,seperate,major,class_name,prof,time,place
문과대학,서울,RUSS485,0,전공선택,노어노문학과,러시아어교과논리및논술,손재은,3(3),화(3-4) 미디어관 103호 목(3-4) 미디어관 103호
문과대학,서울,RUSS489,0,전공선택,노어노문학과,러시아기업문화,윤성학,3(3),화(7-8) 교양관 302호 목(7-8) 교양관 302호
문과대학,서울,KORE215,2,전공선택,국어국문학과,고전문학사 (GKS융합전공자만 수강),김인경,3(3),월(3-4) 서관 132호 수(3-4) 서관 132호
문과대학,서울,KORE217,0,전공선택,국어국문학과,구비문학론,최빛나라,3(3),월(6) 교양관 411호 수(6) 교양관 411호
문과대학,서울,KORE219,0,전공선택,국어국문학과,고전소설론,엄태웅,3(3),화(2) 서관 202호 목(2) 서관 202호
문과대학,서울,KORE223,1,전공선택,국어국문학과,현대소설론,강헌국,3(3),월(2) 서관 202호 수(2) 서관 202호
문과대학,서울,KORE223,2,전공선택,국어국문학과,현대소설론 (GKS융합전공자만 수강),박헌호,3(3),월(2) 서관 307호 수(2) 서관 307호
문과대학,서울,KORE227,0,전공선택,국어국문학과,국어교과교육론,안찬원,3(3),화(7-9) 서관 316B호
문과대학,서울,KORE228,0,전공선택,국어국문학과,국어교과교재연구및지도법,안찬원,2(2),수(7-8) 서관 315호
문과대학,서울,KORE231,0,전공선택,국어국문학과,한국어음운의이해,신지영,3(3),화(2) 교양관 209호 목(2) 교양관 209호
문과대학,서울,KORE232,0,전공선택,국어국문학과,한국어연구사,장경준,3(3),월(6) 교양관 412호 수(6) 교양관 412호
문과대학,서울,KORE236,0,전공선택,국어국문학과,한국어의미의이해,김숙정,3(3),화(5) 교육관 301호 목(5) 교육관 301호
문과대학,서울,JAPN451,0,전공선택,일어일문학과,일본어교과교육론(외국어강의),조영남,3(3),월(6) 서관 401호 수(6) 서관 401호
문과대학,서울,JAPN482,0,전공선택,일어일문학과,트랜스동아시아교류(외국어강의),허원영,3(3),화(2) 정경관 506호 목(2) 정경관 506호
문과대학,서울,JAPN491,0,전공선택,일어일문학과,일본문예평론,류정훈,3(3),화(5) 서관 401호 목(5) 서관 401호
선택교양(기초과학),서울,LIBS153,31,교양,생명과학부,일반생물학실험I 2021 보건환경융합과학부(301~끝),한경덕,1(3),수(7-9) 하나과학관 지하 223호
선택교양(기초과학),서울,LIBS153,32,교양,생명과학부,일반생물학실험I 보건과학대학(재수강/편입생/전체학과),지성길,1(3),금(2-4) 하나과학관 지하 223호
선택교양(기초과학),서울,LIET151,1,교양,환경생태공학부,화학의기초및연습Ⅰ(영강) 2021 신입생 생명과학부 52명 선수강 배정,송현규,3(3),월(1) 하나과학관 109호 수(1) 하나과학관 109호
선택교양(기초과학),서울,LIET151,2,교양,환경생태공학부,화학의기초및연습Ⅰ 2021 신입생 생명과학부 52명 선수강 배정,황광연,3(3),월(1) 생명과학관(서관) 201호 수(1) 생명과학관(서관) 201호
선택교양(기초과학),서울,LIET151,3,교양,환경생태공학부,화학의기초및연습Ⅰ(영강) 2021 신입생 생명공학부 61명 선수강 배정,이병천,3(3),월(1) 생명과학관(동관)107 호 수(1) 생명과학관(동관)107 호
선택교양(기초과학),서울,LIET151,4,교양,환경생태공학부,화학의기초및연습Ⅰ 2021 신입생 생명공학부 60명 선수강 배정,정남현,3(3),월(1) 생명과학관(서관) 121호 수(1) 생명과학관(서관) 121호
선택교양(기초과학),서울,LIET151,5,교양,환경생태공학부,"화학의기초및연습Ⅰ(영강) 2021 신입생 식품공학과50, 환경생태공학부 10명 선수강 배정",옥용식,3(3),월(1) 생명과학관(동관)108호 수(1) 생명과학관(동관)108호
선택교양(기초과학),서울,LIET151,6,교양,환경생태공학부,화학의기초및연습Ⅰ(영강) 2021 신입생 생명과학부 62명 선수강 배정,권정환,3(3),월(1) 생명과학관(동관)102호 수(1) 생명과학관(동관)102호
