Column1,Unnamed: 0,entire,campus,number,class_,seperate,major,class_name,prof,time,place,day1,day2,place1,place2,place1_지번,place2_지번
1831,1831,선택교양,서울,HOKA122,0,교양,한국사학과,조선왕조실록의세계,김순남,3(3),화(3-4) 서관 202호 목(3-4) 법학관구관 B102호,화(3-4),목(3-4),서관,법학관구관,서울 성북구 안암동5가 1-2,서울 성북구 종암동 29-26
1832,1832,선택교양,서울,HOKA153,1,교양,한국사학과,한국사와개혁운동,신진혜,3(3),화(2) 교육관 313호 목(2) 교육관 313호,화(2),목(2),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1833,1833,선택교양,서울,HOKA153,2,교양,한국사학과,한국사와개혁운동,이송순,3(3),화(6) 교양관 104호 목(6) 교양관 104호,화(6),목(6),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1834,1834,선택교양,서울,HOKA154,0,교양,한국사학과,삼국사기와고려사의이해,박윤진,3(3),월(3-4) 교육관 406A호 수(3-4) 교육관 406A호,월(3-4),수(3-4),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1835,1835,선택교양,서울,HOKA155,0,교양,한국사학과,한국의신분과사회상,이송순,3(3),화(7-8) 교양관 315호 목(7-8) 교양관 315호,화(7-8),목(7-8),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1836,1836,선택교양,서울,IFLS108,1,교양,교양교육원,한국어초급Ⅰ (Recommended for Foreign Graduate students & Exchange/Visiting students),이두용,3(6),월(1) 교양관 314호 화(1) 교양관 314호,월(1),화(1),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1837,1837,선택교양,서울,IFLS108,A1,교양,교양교육원,한국어초급Ⅰ (외국인 학부생반),강민석,3(6),월(7-8) 교양관 203호 화(7-8) 교양관 203호,월(7-8),화(7-8),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1838,1838,국제학부,서울,GLKS201,0,전공필수,GKS 융합전공,서울의이해,박은숙,3(3),월(6) 국제관 214호 수(6) 국제관 214호,월(6),수(6),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1839,1839,문과대학,서울,GERM355,0,전공선택,독어독문학과,독일어권역사와민속문화 강의실:SK미래관 504호,나혜심,3(3),화(5) 목(5) ,화(5),목(5),미정,미정,미정,미정
1840,1840,문과대학,서울,GERM367,0,전공선택,독어독문학과,독일어작문(외국어강의),Christoph Seifener,3(3),화(5) 서관 404호 목(5) 서관 404호,화(5),목(5),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
