entire,campus,number,class_,seperate,major,class_name,prof,time,place
자유정의진리,서울,GELI001,7B,교양,교양교육원,자유정의진리Ⅰ  ,김기성,3(3),월(2) 교양관 410호 수(2) 교양관 410호
자유정의진리,서울,GELI001,7C,교양,교양교육원,자유정의진리Ⅰ  ,마선미,3(3),월(3-4) 교양관 410호 수(3-4) 교양관 410호
자유정의진리,서울,GELI001,7D,교양,교양교육원,자유정의진리Ⅰ  ,마선미,3(3),월(5) 교양관 410호 수(5) 교양관 410호
자유정의진리,서울,GELI001,7E,교양,교양교육원,자유정의진리Ⅰ  ,우성미,3(3),월(6) 교양관 410호 수(6) 교양관 410호
자유정의진리,서울,GELI001,7F,교양,교양교육원,자유정의진리Ⅰ  ,우성미,3(3),월(7-8) 교양관 410호 수(7-8) 교양관 410호
자유정의진리,서울,GELI001,7G,교양,교양교육원,자유정의진리Ⅰ  ,윤삼석,3(3),화(1) 교양관 410호 목(1) 교양관 410호
선택교양,서울,KORE137,01,교양,국어국문학과,학업한국어말하기 (외국인만 수강),이주미,2(3),수(3-4) 교양관 201호 금(3-4) 교양관 201호
선택교양,서울,KORE137,02,교양,국어국문학과,학업한국어말하기 (외국인만 수강),손다정,2(3),화(2) 법학관신관 208호 목(2) 법학관신관 208호
선택교양,서울,KORE138,01,교양,국어국문학과,"학업한국어강독 (외국인만 수강)
※수업시간 변경:화목 34→화목1",이승연,2(3),화(1) 법학관신관 204호 목(1) 법학관신관 204호
선택교양,서울,KORE138,02,교양,국어국문학과,학업한국어강독 (외국인만 수강),노정은,2(3),월(1) 교양관 104호 수(1) 교양관 104호
선택교양,서울,KORE139,01,교양,국어국문학과,"학업한국어듣기 (외국인만 수강)
※강의실변경: 신법관→교양관210호(월), 교양관209호(금)",전형길,3(3),월(2) 교양관 210호 금(2) 교양관 209호
선택교양,서울,KORE139,02,교양,국어국문학과,"학업한국어듣기 (외국인만 수강)
",김지애,3(3),수(1) 교양관 404호 금(1) 교양관 404호
선택교양,서울,KORE140,01,교양,국어국문학과,학업한국어작문 (외국인만 수강),전형길,2(3),월(3-4) 교양관 105호 금(3-4) 교양관 105호
선택교양,서울,KORE140,02,교양,국어국문학과,학업한국어작문 (외국인만 수강),이주미,2(3),수(2) 교양관 302호 금(2) 교양관 302호
선택교양,서울,KORE141,00,교양,국어국문학과,한국어의역사,문현수,3(3),월(2) 교양관 201호 수(2) 교양관 201호
선택교양,서울,KORE146,00,교양,국어국문학과,한국어의사소통능력과리더십,도원영,3(3),화(3-4) 교양관 412호 목(3-4) 교양관 412호
ACADEMIC ENGLISH,서울,IFLS011,78,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Hudson Lim,1(2),화(3) 국제관 511B호 목(3) 국제관 511B호
